Date,Ticker,News_Sentiment,News_Count
2025-12-15,INFY,0.486848,10
2025-12-16,INFY,-0.046403,50
2025-12-17,INFY,-0.162496,30
2025-12-18,INFY,0.095953,40
2025-12-19,INFY,0.108961,60
2025-12-20,INFY,0.207548,20
2025-12-21,INFY,0.291802,10
2025-12-22,INFY,0.191704,50
2025-12-23,INFY,0.118416,30
2025-12-24,INFY,0.403315,10
2025-12-26,INFY,0.325626,10
2025-12-27,INFY,-0.271936,10
2025-12-28,INFY,0.007399,40
2025-12-29,INFY,0.280599,30
2025-12-30,INFY,-0.006759,40
2025-12-31,INFY,0.251494,20
2026-01-01,INFY,0.149685,40
